biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 82b593 63a277
biome 6 e0ffae 5c694e 496137
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 82b593 63a277
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 53ca37 29bc05
biome 22 ffffff 53ca37 29bc05
biome 28 ffffff 78ed85 78ed85
biome 29 ff107a 69cfdb 70e099
biome 30 ffffff bfb755 aea42a
biome 31 ffffff a1c36d a1c36d
biome 32 ffffff 47cd33 1abf00
biome 33 ffffff baa960 c4cc55
biome 34 ffffff b6ff5e 8bff56
biome 35 ffffff 79c05a 59ae30
biome 36 ffffff 82b593 63a277
biome 37 4fff3f 62a03b 6bbc3c
biome 38 ffff77 ccc9ad d7dbb6
biome 39 ffffff b2b952 9fa726
biome 40 ffffff 83bd65 65ab3e
biome 41 ffffff bec44c b3c442
biome 42 ffffff 91b971 76a64e
biome 43 ffffff 80b497 60a17b
biome 44 ffffff a6ad66 a89b59
biome 45 ffffff c8e84a c8e84a
biome 46 ffffff c8e84a c8e84a
biome 47 1e1b26 3f4151 3f4151
biome 48 ffffff a4b76e 8ca44a
biome 49 ffffff a9ba64 a9ba64
biome 50 ffffff 63b26d 63b26d
biome 51 ffffff 47cd33 1abf00
biome 52 ffffff bfb755 aea42a
biome 53 ffffff 8ab978 6da655
biome 54 ffffff 80b497 60a17b
biome 55 ffffff 80b497 60a17b
biome 56 ffffff 7abe62 59ad3b
biome 57 ffffff 7fbc6d 60aa48
biome 58 ffffff 7fbc6d 60aa48
biome 59 ffffff 7fbc6d 60aa48
biome 60 ffffff 86b688 67a369
biome 61 ffffff 8abf57 6dae2c
biome 62 ffffff 78ed85 78ed85
biome 63 ffffff 78ed85 78ed85
biome 64 ffffff 78ed85 78ed85
biome 65 ffffff bfb755 aea42a
biome 66 ffffff bfb755 aea42a
biome 67 ffffff bfb755 aea42a
biome 68 ffffff bfb755 aea42a
biome 69 ffffff bfb755 aea42a
biome 142 ffffff 47cd33 1abf00
biome 143 f08000 bfb755 aea42a
biome 144 ffffff 80b497 60a17b
biome 145 ffffff 47cd33 1abf00
biome 146 ffffff 47cd33 1abf00
biome 147 ffffff 8ab978 6da655
biome 148 ffffff 80b497 60a17b
biome 149 ffffff bfb755 aea42a
biome 150 ffffff 80b497 60a17b
biome 151 ffffff 8dbb68 72a941
biome 152 ffffff ccb978 89a449
biome 153 ffffff 7fbd64 5fac3c
biome 154 84ff38 545b33 48b22c
biome 155 ffffff 90b879 73a557
biome 156 ffffff b9b75b a6a432
biome 157 ffffff bfb755 aea42a
biome 158 ffffff 6ac44e 45b421
biome 159 ffffff 00ba78 00ba78
biome 160 ffffff 80b497 60a17b
biome 161 ffffff 9cb96d 84a648
biome 162 ffffff 7cbd6b 5bab46
biome 163 ffffff 7fbd64 5fac3c
biome 164 ffffff eee980 a6c968
biome 165 ffffff 8aba6f 6da84b
biome 166 ffffff 61c64b 3bb61e
biome 167 ffffff 9cb96d 84a648
biome 168 ffffff 8dbb68 72a941
biome 169 ffffff b2b952 9fa726
biome 170 ffffff b2b952 9fa726
biome 171 ffffff ccb978 89a449
biome 172 ffffff 80b497 60a17b
biome 173 ffffff 83b68f 65a272
biome 174 ffffff 47cd33 1abf00
biome 175 ffffff 47cd33 1abf00
biome 176 ffffff 80b497 60a17b
biome 177 ffffff 88bb66 6ba940
biome 178 ffffff 8dbb68 72a941
biome 179 ffffff 8eb971 71a74d
biome 180 ffffff 91bd59 77ab2f
biome 181 ffffff 88bb66 6ba940
biome 182 ffffff 47cd33 1abf00
